,10_40039_S11_R1_001.expression,10_90002_mor_det_45776883_R1.expression,1_10115_88_S4_R1_001.expression,11_10102_mor_det_45794778_R1.expression,11_40044_S12_R1_001.expression,12_20042_eve_det_45788807_R1.expression,12_40035_S13_R1_001.expression,13_10119_94_S14_R1_001.expression,13_90006_eve_det_45796767_R1.expression,14_10104_eve_det_45791770_R1.expression,14_40003_S15_R1_001.expression,15_40047_S16_R1_001.expression,15_Control_blood_9_45784879_R1.expression,16_10103_I1_R1.expression,16_Control_blood_11_45796768_R1.expression,1_70008_mor_imp_45790779_R2.expression,17_10108_I2_R1.expression,17_Control_blood_12_45792774_R1.expression,18_10136_I3_R1.expression,18_Control_blood_13_45786842_R1.expression,19_10141_I4_R1.expression,19_Control_blood_14_45759905_R1.expression,20_10155_I5_R1.expression,20_Control_blood_15_45793787_R1.expression,2_10131_83_S5_R1_001.expression,21_10181_I6_R1.expression,21_Control_blood_16_45775870_R1.expression,22_10100_D1_R1.expression,22_Control_blood_17_45792776_R1.expression,23_10116_D2_R1.expression,23_Control_blood_18_45794783_R1.expression,2_40058_mor_imp_45775868_R1.expression,24_10145_D3_R1.expression,24_Control_blood_19_45793789_R1.expression,25_10146_D4_R1.expression,26_10156_D5_R1.expression,27_30057_D6_R1.expression,3_10166_mor_imp_45795773_R1.expression,3_10189_45_S6_R1_001.expression,4_10177_eve_imp_45795771_R1.expression,4_90003_S7_R1_001.expression,5_10171_eve_imp_45788808_R1.expression,5_40026_S8_R1_001.expression,6_30065_S9_R1_001.expression,6_40049_eve_imp_45790782_R1.expression,7_30040_mor_det_45785850_R1.expression,8_60004_mor_det_45796771_R1.expression,9_30053_mor_det_45787820_R1.expression,9_30074_50_S10_R1_001.expression
hsa-miR-4662b,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-3622b-5p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-3622b-3p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-376c-3p,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-376c-5p,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-4736,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-5006-5p,3,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,2,1,0
hsa-miR-5006-3p,11,1,8,1,1,7,2,5,1,17,4,2,3,1,9,0,3,11,2,3,0,11,2,14,2,3,7,3,13,1,7,3,1,7,2,0,4,13,7,7,2,13,5,4,0,5,5,9,0
hsa-miR-330-5p,191,118,197,191,202,197,287,195,80,127,249,166,326,62,412,0,88,254,40,234,45,317,35,332,201,19,361,25,345,33,344,109,35,289,48,45,32,173,257,144,461,211,251,135,240,212,191,199,153
hsa-miR-330-3p,59,18,42,93,32,41,42,48,22,22,44,34,102,18,68,0,21,128,15,98,12,104,10,150,65,9,179,8,99,8,75,28,22,96,15,13,10,47,53,28,53,47,64,46,41,37,28,41,41
hsa-miR-4417,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-147b,1,1,0,1,0,1,2,1,0,2,3,2,10,1,7,0,0,11,0,1,0,8,1,7,2,0,13,0,6,1,4,0,0,1,1,0,0,1,0,1,2,0,1,0,0,1,0,3,1
hsa-miR-4722-5p,1,1,0,2,0,1,0,2,0,0,1,1,0,0,0,0,1,1,0,0,1,2,0,0,2,1,0,0,1,0,1,1,1,0,0,0,0,1,1,1,0,3,1,1,1,2,1,3,0
hsa-miR-4722-3p,0,0,1,2,0,0,0,2,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,1,1,2,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,2
hsa-miR-4469,0,2,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,2,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
hsa-miR-450a-5p,12,2,9,18,0,9,3,8,13,7,13,1,72,10,91,0,19,57,9,40,4,50,15,44,6,5,109,12,81,16,39,16,11,53,17,11,14,12,6,11,16,24,3,4,17,8,10,11,6
hsa-miR-450a-2-3p,6,2,4,7,1,6,8,8,10,5,5,4,6,1,23,0,3,13,1,6,2,8,0,21,5,1,17,0,10,0,13,9,5,14,2,1,4,2,2,8,22,7,7,2,6,2,9,1,2
hsa-miR-4710,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-208b-3p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-208b-5p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-192-5p,1138,435,960,1472,173,888,1147,1031,648,899,850,1035,5237,705,7038,0,511,5562,462,4713,330,5027,486,3771,1344,314,6731,226,6693,596,5137,738,584,4447,632,460,306,715,1032,784,1336,1377,770,734,792,976,662,1157,960
hsa-miR-192-3p,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,1,1,4,0,1,0,2,0,5,0,0,3,0,2,0,4,0,1,1,0,0,0,1,0,2,0,0,0,0,0,0,0,0,1
hsa-miR-6723-5p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-4302,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-4776-5p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-4776-3p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-422a,8,5,8,7,1,10,19,9,4,5,4,7,40,8,38,0,3,32,2,26,2,21,3,44,3,3,39,0,37,3,24,6,3,34,8,6,3,8,5,6,8,24,14,11,9,9,8,16,5
hsa-miR-7107-5p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
hsa-miR-7107-3p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-4276,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-4747-5p,10,4,6,7,4,10,13,7,21,10,8,6,15,2,8,0,8,9,8,4,4,14,6,9,9,5,9,3,19,7,8,10,6,9,4,7,3,16,4,19,15,31,11,7,10,19,9,16,16
hsa-miR-4747-3p,1,2,0,3,1,0,1,2,3,3,0,2,2,0,2,0,2,4,1,1,0,4,0,2,2,1,2,1,4,0,1,3,0,1,2,0,0,7,1,4,1,3,4,4,4,2,6,2,3
hsa-miR-1245a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-621,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-3135b,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
hsa-miR-3675-5p,0,2,1,41,3,38,0,22,12,0,3,7,9,1,6,0,11,0,0,12,1,47,0,3,5,6,4,2,31,13,41,6,0,30,1,2,1,13,12,2,53,4,2,0,2,1,9,4,2
hsa-miR-3675-3p,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,2,2,3,0,0,1,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0
hsa-miR-708-5p,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,1,2,2,7,0,5,0,4,0,0,4,0,1,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0
hsa-miR-708-3p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,10,0,4,0,7,0,0,7,1,1,0,0,0,0,3,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-488-5p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-488-3p,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-8087,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-3169,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-3164,11,1,3,17,4,10,10,6,10,10,11,5,38,9,34,0,4,23,2,27,2,30,4,21,14,3,52,0,35,4,25,5,9,11,10,4,2,10,6,10,9,20,9,11,7,7,5,21,6
hsa-miR-552-3p,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-552-5p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
hsa-miR-325,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-718,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-1289,12,5,16,14,2,9,14,17,10,7,18,11,56,4,22,0,4,50,2,42,4,28,7,33,18,2,50,2,51,0,50,18,3,41,2,1,0,12,15,14,7,13,14,13,13,9,11,14,2
hsa-miR-133b,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,1,1,0,0,0,0,1,0,0,2,1,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-4420,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-3674,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-3606-5p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-3606-3p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-370-3p,1761,1927,1428,814,500,453,1520,1038,490,1392,509,1340,1050,280,591,0,397,740,115,3172,397,823,490,587,2834,240,3098,265,2710,159,857,571,64,956,122,84,221,492,1492,448,692,350,1605,1475,1123,363,83,2438,853
hsa-miR-370-5p,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-329-3p,6,0,3,7,0,2,0,1,8,7,0,0,9,1,8,0,2,8,0,33,0,8,2,29,4,1,54,2,22,3,12,1,3,11,1,1,2,0,5,4,1,3,1,6,5,1,1,10,1
hsa-miR-329-5p,2,2,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,2,5,2,2,1,1,4,1,2,0,4,0,0,1,0,0,0,0,0,2,0,3,0,0,2,2,1,3,0,1,0
hsa-miR-570-3p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-1208,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-2392,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-154-5p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,1,0,0,3,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-154-3p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-3137,3,0,1,2,0,1,1,2,3,2,0,0,4,1,4,0,1,3,0,2,0,1,0,2,4,0,4,2,10,0,3,0,1,3,0,1,1,2,0,0,3,5,4,0,1,0,1,1,1
hsa-miR-6838-5p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
hsa-miR-6838-3p,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-1265,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-3180,4,7,5,12,2,12,27,13,9,10,6,6,36,1,19,2,5,12,1,14,3,10,2,21,15,1,12,2,13,2,22,11,0,6,3,1,3,14,7,5,16,13,1,11,19,9,10,19,13
hsa-miR-7845-5p,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,2,0,2,1,0,0,0,1
hsa-miR-6800-5p,0,2,0,1,0,1,5,0,0,2,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,1,0,1,0,0,1,0,0,1,2,0,1,1,1,0,0,0,2,0,0,0
hsa-miR-6800-3p,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,2,1,1,1,0,0,2,0,0,2,0,0,0,0,0,0,0,1,1,0,1
hsa-miR-548ba,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-1293,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
hsa-miR-5589-5p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-5589-3p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-632,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-10b-5p,3,0,0,3,0,2,4,5,2,3,5,1,11,3,9,0,7,15,0,13,1,12,5,8,1,0,46,6,8,4,13,1,3,5,5,5,3,1,9,3,7,2,1,0,1,1,1,1,4
hsa-miR-10b-3p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-6894-5p,7,2,5,1,7,5,10,2,3,1,7,5,12,0,5,0,3,8,1,5,3,3,1,5,0,2,11,0,11,1,0,2,2,2,0,2,2,11,4,4,8,15,1,0,4,8,15,3,6
hsa-miR-6894-3p,21,10,21,23,7,24,34,16,15,13,36,11,17,6,11,0,11,9,3,14,5,12,8,24,14,2,23,1,14,4,12,21,4,7,4,4,8,34,19,26,14,36,17,29,18,21,15,21,18
hsa-miR-8060,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-4539,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-4768-5p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-4768-3p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-604,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-18a-5p,9,2,10,14,1,11,3,12,8,6,2,6,81,14,66,0,18,101,4,89,8,92,16,51,16,5,110,8,108,14,77,10,18,78,17,15,13,12,14,11,12,38,9,3,9,9,14,15,16
hsa-miR-18a-3p,921,860,1149,2188,228,1728,1569,1039,1322,1564,671,568,2778,641,2238,0,1150,2861,838,2232,468,2813,829,3693,1004,603,3341,307,3211,639,2826,1201,729,2222,514,669,491,1966,828,3007,1160,3961,1018,1136,1944,2013,1303,1760,896
hsa-miR-7851-3p,1,4,0,0,0,0,1,2,2,1,2,1,2,0,2,0,2,2,0,2,0,5,1,0,0,0,2,0,7,0,1,0,0,2,0,0,0,0,1,2,1,2,2,0,0,0,2,1,1
hsa-miR-147a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-4788,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-4297,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-4492,7,7,12,2,0,6,8,2,1,7,11,7,2,3,4,0,1,0,4,2,1,2,6,0,0,0,1,0,3,1,5,2,2,5,1,2,1,8,6,3,4,6,6,11,1,1,3,6,13
hsa-miR-6079,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-3975,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-4450,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-548d-5p,11,0,4,13,1,0,7,13,13,11,4,15,82,16,71,0,12,80,13,62,1,70,14,52,6,7,195,6,100,23,51,13,27,53,19,25,8,8,5,11,8,14,5,6,8,17,8,17,7
hsa-miR-548d-3p,0,0,0,0,0,0,1,0,0,0,0,0,2,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-8076,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-4796-5p,1,0,1,1,0,0,0,1,0,0,0,2,3,0,4,0,0,1,1,2,0,1,0,4,0,0,6,0,1,0,3,0,1,3,1,0,1,1,0,2,0,0,0,0,1,0,0,3,0
hsa-miR-4796-3p,0,0,0,2,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,1,0,1,0,1,0,0,2,0,1,1,0,1,0,0,1,1,0,0,0,1,1,2,0,2,0,0,3,0,1
hsa-miR-548as-5p,3,0,3,3,0,0,3,9,1,4,0,2,4,0,5,0,0,6,1,1,1,3,3,4,1,1,7,0,4,3,8,3,2,5,2,0,1,0,0,2,3,3,0,0,1,3,0,1,0
hsa-miR-548as-3p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-5093,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-548t-5p,0,0,0,1,3,0,3,5,1,0,3,0,15,3,7,0,1,10,1,2,1,7,1,3,1,1,13,0,7,3,2,0,1,0,5,0,0,0,1,1,1,3,0,2,1,0,3,0,0
hsa-miR-520f-3p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-520f-5p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-4738-5p,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-4738-3p,15,12,19,10,5,16,16,14,23,12,16,8,35,5,20,0,9,30,2,25,1,25,3,27,19,1,32,4,35,4,20,10,2,17,5,8,4,18,20,6,8,28,13,19,38,9,20,7,18
hsa-miR-27a-5p,4,3,1,1,1,0,3,1,0,3,1,16,5,1,5,0,1,10,0,9,0,9,0,6,7,0,17,0,7,0,6,2,0,7,2,0,1,0,1,1,5,1,4,0,3,0,1,4,1
hsa-miR-27a-3p,710,553,555,1308,189,924,1242,704,638,1145,583,595,1858,495,1762,0,618,1857,355,1853,265,1887,472,1141,755,341,2407,268,1741,448,1578,803,357,1425,467,505,379,876,760,1142,782,1298,674,732,1209,981,1030,1088,697
hsa-miR-4262,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-3188,8,3,10,0,2,0,16,14,10,11,12,0,22,10,19,0,14,18,0,14,2,13,3,2,1,7,4,0,17,7,39,12,1,11,7,4,0,17,4,6,3,32,17,9,17,12,24,2,14
hsa-miR-649,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-384,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-5697,0,0,0,0,0,2,0,2,3,1,2,0,3,2,5,0,1,5,0,6,0,10,0,4,2,0,9,0,2,1,3,1,1,4,1,0,0,1,0,1,0,0,0,0,1,2,4,1,1
hsa-miR-497-5p,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,3,1,1,3,1,1,2,0,0,1,0,2,0,2,1,0,1,0,1,1,2,0,0,1,0,0,0,0,1,0,0,0,0
hsa-miR-497-3p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-4504,7,2,2,6,2,2,8,10,0,0,1,3,33,0,35,0,3,30,0,24,0,18,0,4,9,1,38,1,26,1,12,4,0,16,1,1,4,0,6,2,8,4,7,4,1,5,3,3,6
